Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category,District Office Location
2012,2008,4033,Maple Valley,52,53,98.11,95.01 - 100.00%,"501 S 7th St
Mapleton, Iowa 51034
(42.160984373000474, -95.78888640999969)"
2013,2009,4033,Maple Valley-Anthon Oto,50,54,92.59,90.01 - 95.00%,"501 S 7th St
Mapleton, Iowa 51034
(42.160984373000474, -95.78888640999969)"
2014,2010,4033,Maple Valley-Anthon Oto,61,64,95.31,95.01 - 100.00%,"501 S 7th St
Mapleton, Iowa 51034
(42.160984373000076, -95.78888640999998)"
2009,2005,4041,Maquoketa,114,129,88.37,85.01 - 90.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000474, -90.67317783999965)"
2010,2006,4041,Maquoketa,146,167,87.43,85.01 - 90.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000474, -90.67317783999965)"
2011,2007,4041,Maquoketa,113,128,88.28,85.01 - 90.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000474, -90.67317783999965)"
2012,2008,4041,Maquoketa,127,143,88.81,85.01 - 90.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000474, -90.67317783999965)"
2013,2009,4041,Maquoketa,99,119,83.19,80.01 - 85.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000474, -90.67317783999965)"
2014,2010,4041,Maquoketa,101,119,84.87,80.01 - 85.00%,"612 So Vermont
Maquoketa, Iowa 52060
(42.060815723000076, -90.67317783999994)"
2009,2005,4043,Maquoketa Valley,63,70,90.00,85.01 - 90.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300045, -91.33077291999967)"
2010,2006,4043,Maquoketa Valley,66,68,97.06,95.01 - 100.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300045, -91.33077291999967)"
2011,2007,4043,Maquoketa Valley,56,56,100.00,95.01 - 100.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300045, -91.33077291999967)"
2012,2008,4043,Maquoketa Valley,64,66,96.97,95.01 - 100.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300045, -91.33077291999967)"
2013,2009,4043,Maquoketa Valley,53,53,100.00,95.01 - 100.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300045, -91.33077291999967)"
2014,2010,4043,Maquoketa Valley,55,55,100.00,95.01 - 100.00%,"112 3rd Street
Delhi, Iowa 52223
(42.42618972300005, -91.33077291999996)"
2009,2005,4068,Marcus-Meriden-Cleghorn,31,33,93.94,90.01 - 95.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400048, -95.8041639709997)"
2010,2006,4068,Marcus-Meriden-Cleghorn,31,32,96.88,95.01 - 100.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400048, -95.8041639709997)"
2011,2007,4068,Marcus-Meriden-Cleghorn,29,34,85.29,85.01 - 90.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400048, -95.8041639709997)"
2012,2008,4068,Marcus-Meriden-Cleghorn,36,41,87.80,85.01 - 90.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400048, -95.8041639709997)"
2013,2009,4068,Marcus-Meriden-Cleghorn,44,46,95.65,95.01 - 100.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400048, -95.8041639709997)"
2014,2010,4068,Marcus-Meriden-Cleghorn,27,29,93.10,90.01 - 95.00%,"400 East Fenton
Marcus, Iowa 51035
(42.81901791400003, -95.80416397099998)"
2009,2005,4086,Marion,165,175,94.29,90.01 - 95.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800049, -91.59379391899967)"
2010,2006,4086,Marion,146,170,85.88,85.01 - 90.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800049, -91.59379391899967)"
2011,2007,4086,Marion,119,136,87.50,85.01 - 90.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800049, -91.59379391899967)"
2012,2008,4086,Marion,127,137,92.70,90.01 - 95.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800049, -91.59379391899967)"
2013,2009,4086,Marion,162,173,93.64,90.01 - 95.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800049, -91.59379391899967)"
2014,2010,4086,Marion,124,134,92.54,90.01 - 95.00%,"777 S 15th St
Marion, Iowa 52302
(42.02297174800003, -91.59379391899995)"
2009,2005,4104,Marshalltown,271,354,76.55,75.01 - 80.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100049, -92.90782383799967)"
2010,2006,4104,Marshalltown,292,362,80.66,80.01 - 85.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100049, -92.90782383799967)"
2011,2007,4104,Marshalltown,280,362,77.35,75.01 - 80.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100049, -92.90782383799967)"
2012,2008,4104,Marshalltown,312,367,85.01,85.01 - 90.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100049, -92.90782383799967)"
2013,2009,4104,Marshalltown,288,353,81.59,80.01 - 85.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100049, -92.90782383799967)"
2014,2010,4104,Marshalltown,323,371,87.06,85.01 - 90.00%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.03642118100004, -92.90782383699997)"
2009,2005,4122,Martensdale-St Marys,32,38,84.21,80.01 - 85.00%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559000455, -93.73549571499967)"
2010,2006,4122,Martensdale-St Marys,38,38,100.00,95.01 - 100.00%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559000455, -93.73549571499967)"
2011,2007,4122,Martensdale-St Marys,38,39,97.44,95.01 - 100.00%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559000455, -93.73549571499967)"
2012,2008,4122,Martensdale-St Marys,43,44,97.73,95.01 - 100.00%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559000455, -93.73549571499967)"
2013,2009,4122,Martensdale-St Marys,41,41,100.00,95.01 - 100.00%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559000455, -93.73549571499967)"
2014,2010,4122,Martensdale-St Marys,32,33,96.97,95.01 - 100.00%,"390 Burlington
Martensdale, Iowa 50160
(41.37299655900006, -93.73549571499996)"
2009,2005,4131,Mason City,251,300,83.67,80.01 - 85.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753000486, -93.19849268699966)"
2010,2006,4131,Mason City,273,309,88.35,85.01 - 90.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753000486, -93.19849268699966)"
2011,2007,4131,Mason City,240,279,86.02,85.01 - 90.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753000486, -93.19849268699966)"
2012,2008,4131,Mason City,261,304,85.86,85.01 - 90.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753000486, -93.19849268699966)"
2013,2009,4131,Mason City,235,262,89.69,85.01 - 90.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753000486, -93.19849268699966)"
2014,2010,4131,Mason City,247,273,90.48,90.01 - 95.00%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.16684075300003, -93.19849268699994)"
2009,2005,4203,Mediapolis,72,81,88.89,85.01 - 90.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.013220670000464, -91.16044983899968)"
2010,2006,4203,Mediapolis,58,68,85.29,85.01 - 90.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.013220670000464, -91.16044983899968)"
2011,2007,4203,Mediapolis,57,68,83.82,80.01 - 85.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.013220670000464, -91.16044983899968)"
2012,2008,4203,Mediapolis,69,73,94.52,90.01 - 95.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.013220670000464, -91.16044983899968)"
2013,2009,4203,Mediapolis,78,85,91.76,90.01 - 95.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.013220670000464, -91.16044983899968)"
2014,2010,4203,Mediapolis,46,52,88.46,85.01 - 90.00%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067000007, -91.16044983899997)"
2009,2005,4212,Melcher-Dallas,32,37,86.49,85.01 - 90.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300045, -93.24182435499966)"
2010,2006,4212,Melcher-Dallas,34,37,91.89,90.01 - 95.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300045, -93.24182435499966)"
2011,2007,4212,Melcher-Dallas,27,29,93.10,90.01 - 95.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300045, -93.24182435499966)"
2012,2008,4212,Melcher-Dallas,15,17,88.24,85.01 - 90.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300045, -93.24182435499966)"
2013,2009,4212,Melcher-Dallas,33,33,100.00,95.01 - 100.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300045, -93.24182435499966)"
2014,2010,4212,Melcher-Dallas,14,16,87.50,85.01 - 90.00%,"214 S Main
Melcher, Iowa 50163
(41.22306866300005, -93.24182435499995)"
2009,2005,4419,MFL MarMac,90,96,93.75,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.0465122650005, -91.39128223399968)"
2010,2006,4419,MFL MarMac,72,77,93.51,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.0465122650005, -91.39128223399968)"
2011,2007,4419,MFL MarMac,64,68,94.12,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.0465122650005, -91.39128223399968)"
2012,2008,4419,MFL MarMac,59,63,93.65,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.0465122650005, -91.39128223399968)"
2013,2009,4419,MFL MarMac,56,59,94.92,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.0465122650005, -91.39128223399968)"
2014,2010,4419,MFL MarMac,53,58,91.38,90.01 - 95.00%,"700 S Page St
Monona, Iowa 52159
(43.04651226500005, -91.39128223499995)"
2009,2005,4269,Midland,33,34,97.06,95.01 - 100.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169000047, -91.00603365399968)"
2010,2006,4269,Midland,35,36,97.22,95.01 - 100.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169000047, -91.00603365399968)"
2011,2007,4269,Midland,30,33,90.91,90.01 - 95.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169000047, -91.00603365399968)"
2012,2008,4269,Midland,25,31,80.65,80.01 - 85.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169000047, -91.00603365399968)"
2013,2009,4269,Midland,29,35,82.86,80.01 - 85.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169000047, -91.00603365399968)"
2014,2010,4269,Midland,24,27,88.89,85.01 - 90.00%,"109 W. Green Street
Wyoming, Iowa 52362
(42.060661690000074, -91.00603365399996)"
2009,2005,4271,Mid-Prairie,72,85,84.71,80.01 - 85.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200047, -91.82741677699966)"
2010,2006,4271,Mid-Prairie,77,94,81.91,80.01 - 85.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200047, -91.82741677699966)"
2011,2007,4271,Mid-Prairie,74,91,81.32,80.01 - 85.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200047, -91.82741677699966)"
2012,2008,4271,Mid-Prairie,63,76,82.89,80.01 - 85.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200047, -91.82741677699966)"
2013,2009,4271,Mid-Prairie,68,86,79.07,75.01 - 80.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200047, -91.82741677699966)"
2014,2010,4271,Mid-Prairie,75,84,89.29,85.01 - 90.00%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.46726268200007, -91.82741677699994)"
2009,2005,4356,Missouri Valley,71,77,92.21,90.01 - 95.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200046, -95.89415113599966)"
2010,2006,4356,Missouri Valley,74,77,96.10,95.01 - 100.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200046, -95.89415113599966)"
2011,2007,4356,Missouri Valley,67,73,91.78,90.01 - 95.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200046, -95.89415113599966)"
2012,2008,4356,Missouri Valley,59,65,90.77,90.01 - 95.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200046, -95.89415113599966)"
2013,2009,4356,Missouri Valley,67,68,98.53,95.01 - 100.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200046, -95.89415113599966)"
2014,2010,4356,Missouri Valley,62,70,88.57,85.01 - 90.00%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.55942836200006, -95.89415113499996)"
2009,2005,4149,MOC-Floyd Valley,92,98,93.88,90.01 - 95.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600049, -96.04148645599969)"
2010,2006,4149,MOC-Floyd Valley,103,106,97.17,95.01 - 100.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600049, -96.04148645599969)"
2011,2007,4149,MOC-Floyd Valley,96,99,96.97,95.01 - 100.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600049, -96.04148645599969)"
2012,2008,4149,MOC-Floyd Valley,104,106,98.11,95.01 - 100.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600049, -96.04148645599969)"
2013,2009,4149,MOC-Floyd Valley,98,101,97.03,95.01 - 100.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600049, -96.04148645599969)"
2014,2010,4149,MOC-Floyd Valley,103,106,97.17,95.01 - 100.00%,"1301 8th St SE
Orange City, Iowa 51041
(42.99754827600003, -96.04148645599997)"
2009,2005,4437,Montezuma,45,47,95.74,95.01 - 100.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800048, -92.52358739999966)"
2010,2006,4437,Montezuma,35,38,92.11,90.01 - 95.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800048, -92.52358739999966)"
2011,2007,4437,Montezuma,25,30,83.33,80.01 - 85.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800048, -92.52358739999966)"
2012,2008,4437,Montezuma,41,43,95.35,95.01 - 100.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800048, -92.52358739999966)"
2013,2009,4437,Montezuma,31,33,93.94,90.01 - 95.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800048, -92.52358739999966)"
2014,2010,4437,Montezuma,40,41,97.56,95.01 - 100.00%,"504 N 4th St
Montezuma, Iowa 50171
(41.59128088800003, -92.52358739999994)"
2009,2005,4446,Monticello,87,92,94.57,90.01 - 95.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800049, -91.18673066999969)"
2010,2006,4446,Monticello,79,89,88.76,85.01 - 90.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800049, -91.18673066999969)"
2011,2007,4446,Monticello,101,104,97.12,95.01 - 100.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800049, -91.18673066999969)"
2012,2008,4446,Monticello,75,85,88.24,85.01 - 90.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800049, -91.18673066999969)"
2013,2009,4446,Monticello,73,84,86.90,85.01 - 90.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800049, -91.18673066999969)"
2014,2010,4446,Monticello,69,76,90.79,90.01 - 95.00%,"711 S Maple St
Monticello, Iowa 52310
(42.23316875800003, -91.18673066999997)"
2009,2005,4491,Moravia,21,25,84.00,80.01 - 85.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000048, -92.81802566399966)"
2010,2006,4491,Moravia,17,17,100.00,95.01 - 100.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000048, -92.81802566399966)"
2011,2007,4491,Moravia,26,27,96.30,95.01 - 100.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000048, -92.81802566399966)"
2012,2008,4491,Moravia,25,25,100.00,95.01 - 100.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000048, -92.81802566399966)"
2013,2009,4491,Moravia,17,21,80.95,80.01 - 85.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000048, -92.81802566399966)"
2014,2010,4491,Moravia,21,24,87.50,85.01 - 90.00%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017000003, -92.81802566399995)"
2009,2005,4505,Mormon Trail,16,18,88.89,85.01 - 90.00%,"403 S Front St
Humeston, Iowa 50123
(40.85786142800049, -93.49945447999966)"
2010,2006,4505,Mormon Trail,15,16,93.75,90.01 - 95.00%,"403 S Front St
Humeston, Iowa 50123
(40.85786142800049, -93.49945447999966)"
2011,2007,4505,Mormon Trail,11,13,84.62,80.01 - 85.00%,"403 S Front St
Humeston, Iowa 50123
(40.85786142800049, -93.49945447999966)"
2012,2008,4505,Mormon Trail,25,29,86.21,85.01 - 90.00%,"403 S Front St
Humeston, Iowa 50123
(40.85786142800049, -93.49945447999966)"
2013,2009,4505,Mormon Trail,12,12,100.00,95.01 - 100.00%,"403 S Front St
Humeston, Iowa 50123
(40.85786142800049, -93.49945447999966)"
2014,2010,4505,Mormon Trail,13,14,92.86,90.01 - 95.00%,"403 S Front St
Humeston, Iowa 50123
(40.857861428000035, -93.49945447999994)"
2009,2005,4509,Morning Sun,,,,Not Reportable,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500046, -91.25115129999966)"
2010,2006,4509,Morning Sun,10,12,83.33,80.01 - 85.00%,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500046, -91.25115129999966)"
2011,2007,4509,Morning Sun,12,12,100.00,95.01 - 100.00%,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500046, -91.25115129999966)"
2012,2008,4509,Morning Sun,6,11,54.55,50.01 - 55.00%,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500046, -91.25115129999966)"
2013,2009,4509,Morning Sun,10,12,83.33,80.01 - 85.00%,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500046, -91.25115129999966)"
2014,2010,4509,Morning Sun,14,17,82.35,80.01 - 85.00%,"311 Division Street
Morning Sun, Iowa 52640
(41.09586636500006, -91.25115129999995)"
2009,2005,4518,Moulton-Udell,23,23,100.00,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000049, -92.67513456299969)"
2010,2006,4518,Moulton-Udell,23,23,100.00,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000049, -92.67513456299969)"
2011,2007,4518,Moulton-Udell,22,23,95.65,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000049, -92.67513456299969)"
2012,2008,4518,Moulton-Udell,11,11,100.00,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000049, -92.67513456299969)"
2013,2009,4518,Moulton-Udell,26,26,100.00,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000049, -92.67513456299969)"
2014,2010,4518,Moulton-Udell,10,10,100.00,95.01 - 100.00%,"305 E 8th
Moulton, Iowa 52572
(40.68897702000004, -92.67513456299997)"
2009,2005,4527,Mount Ayr,52,53,98.11,95.01 - 100.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700045, -94.22719115499967)"
2010,2006,4527,Mount Ayr,41,44,93.18,90.01 - 95.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700045, -94.22719115499967)"
2011,2007,4527,Mount Ayr,63,64,98.44,95.01 - 100.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700045, -94.22719115499967)"
2012,2008,4527,Mount Ayr,34,37,91.89,90.01 - 95.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700045, -94.22719115499967)"
2013,2009,4527,Mount Ayr,35,37,94.59,90.01 - 95.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700045, -94.22719115499967)"
2014,2010,4527,Mount Ayr,43,44,97.73,95.01 - 100.00%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.71824921700005, -94.22719115399997)"
2009,2005,4536,Mount Pleasant,143,170,84.12,80.01 - 85.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.966282100000456, -91.55028431199969)"
2010,2006,4536,Mount Pleasant,127,147,86.39,85.01 - 90.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.966282100000456, -91.55028431199969)"
2011,2007,4536,Mount Pleasant,136,162,83.95,80.01 - 85.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.966282100000456, -91.55028431199969)"
2012,2008,4536,Mount Pleasant,132,151,87.42,85.01 - 90.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.966282100000456, -91.55028431199969)"
2013,2009,4536,Mount Pleasant,143,169,84.62,80.01 - 85.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.966282100000456, -91.55028431199969)"
2014,2010,4536,Mount Pleasant,123,142,86.62,85.01 - 90.00%,"307 E. Monroe, Suite 201
Mount Pleasant, Iowa 52641
(40.96628210000006, -91.55028431199997)"
2009,2005,4554,Mount Vernon,111,122,90.98,90.01 - 95.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.917657799000494, -91.42770056199964)"
2010,2006,4554,Mount Vernon,84,94,89.36,85.01 - 90.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.917657799000494, -91.42770056199964)"
2011,2007,4554,Mount Vernon,95,102,93.14,90.01 - 95.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.917657799000494, -91.42770056199964)"
2012,2008,4554,Mount Vernon,78,88,88.64,85.01 - 90.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.917657799000494, -91.42770056199964)"
2013,2009,4554,Mount Vernon,91,94,96.81,95.01 - 100.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.917657799000494, -91.42770056199964)"
2014,2010,4554,Mount Vernon,81,91,89.01,85.01 - 90.00%,"525 Palisades Rd SW
Mount Vernon, Iowa 52314
(41.91765779900004, -91.42770056199998)"
2009,2005,4572,Murray,18,19,94.74,90.01 - 95.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600047, -93.95364748799966)"
2010,2006,4572,Murray,24,24,100.00,95.01 - 100.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600047, -93.95364748799966)"
2011,2007,4572,Murray,25,28,89.29,85.01 - 90.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600047, -93.95364748799966)"
2012,2008,4572,Murray,19,20,95.00,90.01 - 95.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600047, -93.95364748799966)"
2013,2009,4572,Murray,25,25,100.00,95.01 - 100.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600047, -93.95364748799966)"
2014,2010,4572,Murray,21,22,95.45,95.01 - 100.00%,"216 Sherman
Murray, Iowa 501740187
(41.03988177600007, -93.95364748799994)"
2009,2005,4581,Muscatine,332,446,74.44,70.01 - 75.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.44360329900047, -91.06796163599967)"
2010,2006,4581,Muscatine,296,375,78.93,75.01 - 80.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.44360329900047, -91.06796163599967)"
2011,2007,4581,Muscatine,318,383,83.03,80.01 - 85.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.44360329900047, -91.06796163599967)"
2012,2008,4581,Muscatine,328,400,82.00,80.01 - 85.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.44360329900047, -91.06796163599967)"
2013,2009,4581,Muscatine,291,380,76.58,75.01 - 80.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.44360329900047, -91.06796163599967)"
2014,2010,4581,Muscatine,301,368,81.79,80.01 - 85.00%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.443603299000074, -91.06796163599995)"
2009,2005,4599,Nashua-Plainfield,51,55,92.73,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.949089450000486, -92.54007770499965)"
2010,2006,4599,Nashua-Plainfield,52,56,92.86,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.949089450000486, -92.54007770499965)"
2011,2007,4599,Nashua-Plainfield,58,62,93.55,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.949089450000486, -92.54007770499965)"
2012,2008,4599,Nashua-Plainfield,53,58,91.38,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.949089450000486, -92.54007770499965)"
2013,2009,4599,Nashua-Plainfield,51,54,94.44,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.949089450000486, -92.54007770499965)"
2014,2010,4599,Nashua-Plainfield,47,52,90.38,90.01 - 95.00%,"612 Greeley St
Nashua, Iowa 50658
(42.94908944900004, -92.54007770499999)"
2009,2005,4617,Nevada,111,118,94.07,90.01 - 95.00%,"1035 15th St
Nevada, Iowa 50201
(42.020760519000476, -93.43993375199966)"
2010,2006,4617,Nevada,96,101,95.05,95.01 - 100.00%,"1035 15th St
Nevada, Iowa 50201
(42.020760519000476, -93.43993375199966)"
2011,2007,4617,Nevada,108,115,93.91,90.01 - 95.00%,"1035 15th St
Nevada, Iowa 50201
(42.020760519000476, -93.43993375199966)"
2012,2008,4617,Nevada,93,103,90.29,90.01 - 95.00%,"1035 15th St
Nevada, Iowa 50201
(42.020760519000476, -93.43993375199966)"
2013,2009,4617,Nevada,101,106,95.28,95.01 - 100.00%,"1035 15th St
Nevada, Iowa 50201
(42.020760519000476, -93.43993375199966)"
2014,2010,4617,Nevada,80,87,91.95,90.01 - 95.00%,"1035 15th St
Nevada, Iowa 50201
(42.02076051900008, -93.43993375199994)"
2009,2005,4644,Newell-Fonda,32,33,96.97,95.01 - 100.00%,"205 Clark St
Newell, Iowa 505680297
(42.607244068000455, -94.99848238299967)"
2010,2006,4644,Newell-Fonda,40,41,97.56,95.01 - 100.00%,"205 Clark St
Newell, Iowa 505680297
(42.607244068000455, -94.99848238299967)"
2011,2007,4644,Newell-Fonda,40,41,97.56,95.01 - 100.00%,"205 Clark St
Newell, Iowa 505680297
(42.607244068000455, -94.99848238299967)"
2012,2008,4644,Newell-Fonda,33,34,97.06,95.01 - 100.00%,"205 Clark St
Newell, Iowa 505680297
(42.607244068000455, -94.99848238299967)"
2013,2009,4644,Newell-Fonda,30,32,93.75,90.01 - 95.00%,"205 Clark St
Newell, Iowa 505680297
(42.607244068000455, -94.99848238299967)"
2014,2010,4644,Newell-Fonda,28,28,100.00,95.01 - 100.00%,"205 Clark St
Newell, Iowa 505680297
(42.60724406800006, -94.99848238299995)"
2009,2005,4662,New Hampton,105,117,89.74,85.01 - 90.00%,"710 W Main
New Hampton, Iowa 506591004
(43.05946305300046, -92.32591635399967)"
2010,2006,4662,New Hampton,101,112,90.18,90.01 - 95.00%,"710 W Main
New Hampton, Iowa 506591004
(43.05946305300046, -92.32591635399967)"
2011,2007,4662,New Hampton,78,97,80.41,80.01 - 85.00%,"710 W Main
New Hampton, Iowa 506591004
(43.05946305300046, -92.32591635399967)"
